"St.no","TAM","month","year","scaled.temp","month.human","scaled"
99710,-7.5,4,1996,0,"April",-0.940118090781677
99710,-7.7,4,1997,0,"April",-1.01728896441574
99710,-6.1,4,1998,0,"April",-0.39992197534321
99710,-3.8,4,1999,0,"April",0.487543071448557
99710,-6.8,4,2001,0,"April",-0.670020033062443
99710,-0.2,4,2002,0,"April",1.87661879686176
99710,-4.2,4,2003,0,"April",0.333201324180423
99710,0.9,4,2004,0,"April",2.30105860184912
99710,-2.7,4,2005,0,"April",0.911982876435923
99710,1.4,4,2006,0,"April",2.49398578593429
99710,-3.7,4,2007,0,"April",0.52612850826559
99710,-4.6,4,2008,0,"April",0.17885957691229
99710,-6.4,4,2009,0,"April",-0.51567828579431
99710,-2,4,2010,0,"April",1.18208093415516
99710,0.7,4,2011,0,"April",2.22388772821506
99710,-4,4,2012,0,"April",0.41037219781449
99710,-3.9,4,2013,0,"April",0.448957634631523
99710,-3.9,4,2014,0,"April",0.448957634631523
99710,-1.9,4,2015,0,"April",1.22066637097219
99710,0.6,5,1920,0,"May",1.19540120335959
99710,-0.6,5,1921,0,"May",0.376185149659265
99710,-0.7,5,1922,0,"May",0.307917145184238
99710,-1.7,5,1923,0,"May",-0.374762899566035
99710,-2.1,5,1924,0,"May",-0.647834917466145
99710,-2.4,5,1925,0,"May",-0.852638930891226
99710,-3.4,5,1926,0,"May",-1.5353189756415
99710,-3.1,5,1927,0,"May",-1.33051496221642
99710,-2.6,5,1928,0,"May",-0.989174939841281
99710,-3.2,5,1929,0,"May",-1.39878296669144
99710,-0.5,5,1930,0,"May",0.444453154134292
99710,-1.9,5,1931,0,"May",-0.51129890851609
99710,-3.1,5,1932,0,"May",-1.33051496221642
99710,-1.1,5,1933,0,"May",0.0348451272841285
99710,-0.3,5,1934,0,"May",0.580989163084347
99710,-3,5,1935,0,"May",-1.26224695774139
99710,1.6,5,1936,0,"May",1.87808124810987
99710,0.8,5,1937,0,"May",1.33193721230965
99710,-1.1,5,1938,0,"May",0.0348451272841285
99710,-0.5,5,1939,0,"May",0.444453154134292
99710,0.7,5,1940,0,"May",1.26366920783462
